State, value
Arizona,861028
South Carolina,577522
Louisiana,457896
Minnesota,573047
New Jersey,1004487
District of Columbia,47614
Oregon,183830
Virginia,659590
Rhode Island,147897
Kentucky,443408
Wyoming,58069
New Hampshire,94676
Michigan,932604
Nevada,314928
Wisconsin,659600
Idaho,187479
California,3632557
Nebraska,219826
Connecticut,338447
Montana,108593
North Carolina,969212
Vermont,22827
Maryland,447401
Delaware,104038
Missouri,584825
Illinois,1331848
Maine,61218
Washington,401718
North Dakota,107473
Mississippi,311900
Alabama,527513
Indiana,717413
Ohio,1070771
Tennessee,846472
Iowa,364476
New Mexico,197447
Pennsylvania,1146398
South Dakota,122532
New York,1116926
Texas,2801792
West Virginia,152733
Georgia,1098723
Massachusetts,654584
Kansas,308511
Florida,2186477
Colorado,509194
Alaska,65266
Arkansa,335529
Oklahoma,448305
Utah,396985
Hawaii,31186
